wait_time_ms,x_end,std_all,ringing_energy,max_rolling_std_half,std_tail_50_smooth,max_dev_tail_50,stability_ratio_smooth,max_slope,wave_id,pred_wait_time_ms,error_ms,abs_error_ms
2.64,2.8492755301936863,0.3924212943231969,6.710360437842434,0.0028443133754066,0.0010681598403146,0.0084498056521318,0.0027219721586079,0.0894720388723507,60.0,2.6009154,-0.039084568023681765,0.039084568023681765
3.54,1.232130710807604,0.1403071925717151,6.737121578637526,0.0027858266667285,0.0010145988087729,0.0087284058943926,0.0072312672140674,0.0693468324166925,61.0,4.0381823,0.498182258605957,0.498182258605957
5.0200000000000005,1.906303989235924,0.3528351748094233,8.707793066212247,0.0128772024455166,0.0009553792650937,0.0072322161217124,0.0027077211417541,0.0598355843350286,62.0,4.9494267,-0.0705733489990239,0.0705733489990239
4.21,1.557087923621141,0.2282398435688593,6.317080780710728,0.0027281505024954,0.0011461230604497,0.0069259606628844,0.0050215730851674,0.0561875756860404,63.0,4.1150804,-0.09491964340209957,0.09491964340209957
2.99,2.3876777855198688,0.3550697669315272,7.139130006463019,0.0026913088863538,0.0007483870751236,0.0101387523810636,0.0021077183773866,0.0818861313291441,64.0,3.0807576,0.09075761795043924,0.09075761795043924
4.73,2.368130219821172,0.3573417292489184,8.14632348195367,0.0028502737149548,0.0008603797349201,0.0087554354276009,0.0024077225302535,0.0870760653537405,65.0,4.761428,0.03142787933349567,0.03142787933349567
4.75,1.2958773448954155,0.1740534261649333,7.627555685984271,0.0028497204339794,0.00108899531557,0.0076829483020099,0.0062566726395922,0.053675932679434,66.0,4.8390894,0.08908939361572266,0.08908939361572266
4.76,3.0738973708710686,0.5674231649029738,8.723856497956268,0.0108190598381407,0.001038912895718,0.0095780659070303,0.0018309314073646,0.0641207384493134,67.0,4.752328,-0.007672080993652131,0.007672080993652131
6.84,1.502066722275367,0.2667486737291636,8.976712931400593,0.0138983360792494,0.0011196803059844,0.0065294257288495,0.0041975102861196,0.047009158801673,68.0,6.809023,-0.030977096557617045,0.030977096557617045
3.49,1.0788402476559158,0.1134636277615327,5.840871279530562,0.0026827715248105,0.001189634084644,0.0098003467030247,0.0104847174167535,0.0668336084370192,69.0,3.3567276,-0.13327239990234396,0.13327239990234396
2.57,2.634552378608669,0.3539861989668814,6.634369796636756,0.0027110609362935,0.0008731841990454,0.0079536518014529,0.0024667181916332,0.0859675185789722,70.0,2.5907261,0.020726137161255043,0.020726137161255043
4.84,1.8088127962131744,0.3033205132262573,7.713160921841951,0.0062179166572515,0.0010177640971558,0.0086897306681399,0.0033554080565636,0.0558818231889748,71.0,4.8225536,-0.01744636535644517,0.01744636535644517
4.84,1.8959342412702225,0.3102262769813561,8.713629963923669,0.0087674079626804,0.0006995194302669,0.0062551455576516,0.0022548683974122,0.0572587044085866,72.0,4.7763476,-0.06365236282348619,0.06365236282348619
4.82,2.7281247443301924,0.4648119505307923,8.631790867919625,0.0084362094138987,0.0013896412740858,0.0097162833244124,0.0029896849026994,0.0751086624740984,73.0,4.8232174,0.0032173919677731533,0.0032173919677731533
4.79,2.674513608481531,0.4461499946559336,8.327149143088075,0.0067130384923564,0.0008258346488389,0.0099012657213579,0.0018510246708056,0.0653062862062712,74.0,4.6960135,-0.09398654937744144,0.09398654937744144
2.64,3.1106218136034385,0.4107653724713188,6.84962886829587,0.0031737547369866,0.0008256855256821,0.0071417705177796,0.0020101147248718,0.092548537941606,75.0,2.6456351,0.00563512802124011,0.00563512802124011
2.82,2.103622062956741,0.2918155367907689,6.541839245686878,0.0026026651258669,0.0009213030930969,0.0084706866690438,0.0031571420085161,0.0658390153534504,76.0,2.9361086,0.11610858917236344,0.11610858917236344
5.84,1.0013211109396365,0.1525653793006182,7.817874498956751,0.0094754094084814,0.0007442358737802,0.0064204727153377,0.004878143864052,0.0597549241193409,77.0,6.120241,0.28024116516113295,0.28024116516113295
4.4,1.5576659654549905,0.1916229010576594,6.893466532327124,0.0027319308752191,0.0010351341426839,0.0098617941632286,0.0054019333366137,0.0632551685526941,78.0,4.406715,0.006714916229247692,0.006714916229247692
6.41,1.7637333689330987,0.2953156896866072,8.723299000853258,0.015536598950316,0.0008246925203104,0.0079588070112548,0.0027925794203249,0.0605657845014648,79.0,6.352214,-0.05778614044189467,0.05778614044189467
