wave_id,wait_time_ms,x_end,std_all,std_tail_50,max_dev_tail_50,settling_trend,ringing_energy,max_slope,stability_ratio,pred_wait_time_ms,error_ms,abs_error_ms
42.0,3.06,2.8938520166701047,0.4226179800915431,0.0028589976290163,0.0107426864019619,0.8656651396116744,6.6534946512746025,0.0836355711458575,0.0067649692084375,3.1949427,0.13494271278381342,0.13494271278381342
43.0,5.19,0.8721956174521008,0.1173971422292651,0.0023730347785528,0.0067698740960986,1.0382191305832198,7.225023221164953,0.0515634414730327,0.0202137353028987,5.3932385,0.20323854446411094,0.20323854446411094
44.0,5.18,2.858840120416801,0.4725653741550422,0.0025054183860554,0.0078792785302233,0.9320684639719028,8.000069465288352,0.0617807754517649,0.0053017392254635,5.1723332,-0.007666759490966513,0.007666759490966513
45.0,5.48,1.6665925135925088,0.2452184844987501,0.0023641964995391,0.0079354780611216,0.9904394173787332,7.9180335866911555,0.065325545271043,0.0096411838395079,5.5512505,0.07125045776367145,0.07125045776367145
46.0,6.99,1.4282308296493662,0.2397395150866183,0.0025830841233696,0.0055550077752148,1.0259248683172173,8.769715464511066,0.0545521503649743,0.0107745446622005,6.829901,-0.16009878158569357,0.16009878158569357
47.0,4.49,1.1592067352015707,0.1405273674854471,0.0020892644558736,0.0085069159287873,0.9820521967122988,6.898051250296449,0.0584856921193969,0.0148673135944332,4.6687684,0.17876840591430643,0.17876840591430643
48.0,4.49,1.3838993432065625,0.1899247035860742,0.0024640737121057,0.006001382515191,0.9991991578304164,6.545687728175624,0.0570939796964635,0.0129739504793546,4.4518943,-0.03810571670532248,0.03810571670532248
49.0,5.96,1.6880796685332646,0.2736912448880587,0.0022213711221625,0.006172950946194,1.1357110189409856,8.543503501195602,0.0550846101261284,0.0081163396912997,5.9940658,0.034065761566162145,0.034065761566162145
50.0,5.47,2.1070386024365813,0.3187055776852339,0.0023286999421104,0.0069076146654247,1.070206593157137,8.434113420983559,0.0747871649647032,0.0073067435835831,5.5356197,0.06561973571777369,0.06561973571777369
51.0,3.99,1.5126931106981258,0.1744153382148928,0.0030359278734709,0.0107684616940901,0.8866775164440498,7.001639523109519,0.0765874484164959,0.0174063123526677,4.2162704,0.22627044677734354,0.22627044677734354
52.0,5.47,2.429256337525934,0.3796475889327065,0.0024365622902919,0.0059286445260529,0.9869359158729976,8.242182602636074,0.0670482579927618,0.0064179580086992,5.4437566,-0.026243419647216548,0.026243419647216548
53.0,3.48,1.1652019166618572,0.1397366070258541,0.0026076442112303,0.0065664247612995,0.913835688812412,5.784864112106357,0.0526904895701303,0.0186611386097756,3.562742,0.0827419948577881,0.0827419948577881
54.0,4.84,2.04816421503598,0.3208422404528808,0.0022394103183706,0.0112600144571972,1.0345525690840716,7.499301475879653,0.072062739389828,0.0069797864153729,5.1474743,0.30747428894042983,0.30747428894042983
55.0,5.46,1.2326473660544923,0.1765441204241823,0.0024821786504906,0.0066203560686357,0.9793025911517989,7.242488771398561,0.0539275085990365,0.01405982045999,5.2868195,-0.17318054199218746,0.17318054199218746
56.0,5.98,1.348126490541397,0.2152896025118449,0.0021293388254048,0.0049890312949545,1.1174887820942816,8.1798332192007,0.0574819171059656,0.0098905789720946,6.028498,0.04849817276000934,0.04849817276000934
57.0,4.48,3.0910370922900525,0.4517800998774375,0.0025894542935062,0.0077335261698405,0.9115836545355676,7.651148683326945,0.0750624083016728,0.005731669651844,4.458457,-0.021543006896973083,0.021543006896973083
58.0,2.82,3.1582056729014045,0.4438511399697374,0.0027515319633172,0.0063902158270741,0.9331764330820674,7.054557088417811,0.0855574522561962,0.0061992224629763,3.0620935,0.242093496322632,0.242093496322632
59.0,6.99,1.4333867123505195,0.240327072894782,0.0027693020838592,0.008849085434516,0.98014767670787,9.375875943184296,0.0622858222370668,0.0115230549724566,7.0195026,0.0295026397705076,0.0295026397705076
60.0,2.79,2.8492755301936863,0.3924212943231969,0.0024235438666915,0.0084498056521318,1.0635928881069148,6.710360437842434,0.0894720388723507,0.0061758724502847,2.9749823,0.1849822616577148,0.1849822616577148
61.0,3.99,1.232130710807604,0.1403071925717151,0.0027632000989454,0.0087284058943926,0.903962238362956,6.737121578637526,0.0693468324166925,0.0196939303581262,4.235673,0.2456729507446287,0.2456729507446287
